Time, Mask, Bat, Sts1, Sts2, Seq #,T1FX,T1FY,T1FZ,T1TX,T1TY,T1TZ,T2FX,T2FY,T2FZ,T2TX,T2TY,T2TZ,T3FX,T3FY,T3FZ,T3TX,T3TY,T3TZ
863064866,  7, 1,   1504aa,        0, 277267, -111951.0, -92816.0, -132287.0, -70608.0, -60825.0, -104938.0, -121165.0, -150888.0, -53529.0, -131808.0, -90391.0, -120556.0, -60861.0, -96194.0, -125656.0, -195230.0, -109354.0, -76835.0
863064899,  7, 1,   1500aa,        0, 277268, -111951.0, -92816.0, -132377.0, -70608.0, -60825.0, -104938.0, -121255.0, -150979.0, -53619.0, -131898.0, -90210.0, -120647.0, -60771.0, -96103.0, -125476.0, -195230.0, -109354.0, -76926.0
863064932,  7, 1,   1500aa,        0, 277269, -112042.0, -92726.0, -132287.0, -70608.0, -60825.0, -104848.0, -121255.0, -151069.0, -53529.0, -131898.0, -90210.0, -120647.0, -60680.0, -95922.0, -125566.0, -195049.0, -109354.0, -76744.0
863064965,  7, 1,   1500aa,        0, 277270, -111951.0, -92636.0, -132287.0, -70427.0, -60825.0, -104757.0, -121165.0, -150888.0, -53439.0, -131898.0, -90301.0, -120556.0, -60680.0, -96013.0, -125656.0, -194959.0, -109264.0, -76654.0
863064998,  7, 1,   1500aa,        0, 277271, -111951.0, -92636.0, -132377.0, -70517.0, -60825.0, -104848.0, -121165.0, -150888.0, -53349.0, -131898.0, -90391.0, -120647.0, -60861.0, -96285.0, -125746.0, -195049.0, -109173.0, -76654.0
863065030,  7, 1,   1500aa,        0, 277272, -112042.0, -92636.0, -132558.0, -70427.0, -60645.0, -104848.0, -121255.0, -150979.0, -53349.0, -132078.0, -90571.0, -120737.0, -60952.0, -96466.0, -126016.0, -195049.0, -108992.0, -76744.0
863065063,  7, 1,   1500aa,        0, 277273, -111951.0, -92636.0, -132558.0, -70336.0, -60645.0, -104667.0, -121165.0, -150888.0, -53259.0, -131988.0, -90481.0, -120737.0, -60861.0, -96466.0, -126106.0, -194869.0, -108810.0, -76563.0
863065096,  7, 1,   1500aa,        0, 277274, -112042.0, -92636.0, -132558.0, -70336.0, -60645.0, -104667.0, -121165.0, -150888.0, -53259.0, -131988.0, -90661.0, -120737.0, -60861.0, -96375.0, -126196.0, -194689.0, -108810.0, -76381.0
863065129,  7, 1,   1500aa,        0, 277275, -111951.0, -92816.0, -132648.0, -70517.0, -60645.0, -104757.0, -121165.0, -150888.0, -53259.0, -131988.0, -90661.0, -120737.0, -60861.0, -96466.0, -126196.0, -194869.0, -108810.0, -76563.0
863065161,  7, 1,   1500aa,        0, 277276, -111951.0, -92816.0, -132558.0, -70427.0, -60645.0, -104757.0, -121255.0, -150979.0, -53349.0, -132078.0, -90481.0, -120737.0, -60861.0, -96466.0, -126106.0, -194959.0, -108901.0, -76563.0
863065194,  7, 1,   1500aa,        0, 277277, -111951.0, -92726.0, -132558.0, -70427.0, -60645.0, -104757.0, -121255.0, -150979.0, -53439.0, -131988.0, -90481.0, -120737.0, -60861.0, -96285.0, -125926.0, -194869.0, -108992.0, -76563.0
863065227,  7, 1,   1500aa,        0, 277278, -112042.0, -92002.0, -132468.0, -69793.0, -60735.0, -104035.0, -121255.0, -150888.0, -53349.0, -131898.0, -90391.0, -120556.0, -60861.0, -96285.0, -125926.0, -195049.0, -108992.0, -76744.0
863065260,  7, 1,   1500aa,        0, 277279, -112042.0, -92907.0, -132287.0, -70698.0, -60825.0, -105028.0, -121255.0, -150979.0, -53439.0, -131898.0, -90301.0, -120647.0, -60771.0, -96194.0, -125746.0, -195230.0, -109173.0, -76835.0
