Time, Mask, Bat, Sts1, Sts2, Seq #,T1FX,T1FY,T1FZ,T1TX,T1TY,T1TZ,T2FX,T2FY,T2FZ,T2TX,T2TY,T2TZ,T3FX,T3FY,T3FZ,T3TX,T3TY,T3TZ
864231865,  7, 1,   1504aa,        0, 312881, -120271.0, -96073.0, -132468.0, -76763.0, -47469.0, -105570.0, -99274.0, -129346.0, -84529.0, -99171.0, -72439.0, -97529.0, -34467.0, -99458.0, -140868.0, -187935.0, -128668.0, -87630.0
864231898,  7, 1,   1504aa,        0, 312882, -120271.0, -96073.0, -132468.0, -76763.0, -47379.0, -105480.0, -99274.0, -129436.0, -84529.0, -99262.0, -72439.0, -97529.0, -34376.0, -99549.0, -140868.0, -187935.0, -128668.0, -87630.0
864231931,  7, 1,   1504aa,        0, 312883, -120271.0, -96073.0, -132468.0, -76763.0, -47469.0, -105480.0, -99274.0, -129346.0, -84529.0, -99262.0, -72349.0, -97529.0, -34376.0, -99458.0, -140868.0, -187935.0, -128668.0, -87721.0
864231963,  7, 1,   1504aa,        0, 312884, -120271.0, -96164.0, -132558.0, -76763.0, -47379.0, -105480.0, -99274.0, -129256.0, -84529.0, -99171.0, -72439.0, -97529.0, -34376.0, -99458.0, -140868.0, -187935.0, -128578.0, -87630.0
864231996,  7, 1,   1504aa,        0, 312885, -120271.0, -96164.0, -132468.0, -76673.0, -47288.0, -105570.0, -99364.0, -129256.0, -84529.0, -99262.0, -72349.0, -97438.0, -34376.0, -99639.0, -140958.0, -187845.0, -128578.0, -87539.0
864232029,  7, 1,   1504aa,        0, 312886, -120271.0, -96164.0, -132558.0, -76854.0, -47379.0, -105570.0, -99364.0, -129256.0, -84439.0, -99081.0, -72439.0, -97529.0, -34376.0, -99549.0, -140958.0, -187935.0, -128487.0, -87539.0
864232062,  7, 1,   1504aa,        0, 312887, -120361.0, -96164.0, -132648.0, -76763.0, -47379.0, -105570.0, -99274.0, -129256.0, -84439.0, -99262.0, -72529.0, -97619.0, -34376.0, -99549.0, -141138.0, -187845.0, -128487.0, -87449.0
864232095,  7, 1,   1504aa,        0, 312888, -120361.0, -96073.0, -132648.0, -76673.0, -47379.0, -105480.0, -99274.0, -129256.0, -84349.0, -99262.0, -72529.0, -97529.0, -34376.0, -99639.0, -141228.0, -187845.0, -128487.0, -87539.0
864232127,  7, 1,   1504aa,        0, 312889, -120361.0, -96073.0, -132739.0, -76763.0, -47379.0, -105480.0, -99274.0, -129256.0, -84439.0, -99171.0, -72619.0, -97529.0, -34467.0, -99639.0, -141138.0, -187845.0, -128396.0, -87630.0
864232160,  7, 1,   1504aa,        0, 312890, -120271.0, -96164.0, -132739.0, -76582.0, -47379.0, -105570.0, -99274.0, -129256.0, -84349.0, -99262.0, -72619.0, -97529.0, -34467.0, -99639.0, -141138.0, -187845.0, -128487.0, -87539.0
864232193,  7, 1,   1504aa,        0, 312891, -120271.0, -96164.0, -132558.0, -76763.0, -47379.0, -105480.0, -99274.0, -129346.0, -84439.0, -99262.0, -72529.0, -97529.0, -34376.0, -99639.0, -141048.0, -187845.0, -128487.0, -87539.0
864232226,  7, 1,   1504aa,        0, 312892, -120271.0, -96073.0, -132648.0, -76673.0, -47469.0, -105480.0, -99364.0, -129346.0, -84439.0, -99171.0, -72439.0, -97529.0, -34467.0, -99549.0, -141048.0, -187845.0, -128487.0, -87539.0
864232258,  7, 1,   1500aa,        0, 312893, -120271.0, -96164.0, -132558.0, -76763.0, -47379.0, -105570.0, -99274.0, -129346.0, -84349.0, -99171.0, -72439.0, -97529.0, -34376.0, -99549.0, -141048.0, -187845.0, -128487.0, -87539.0
864232291,  7, 1,   1500aa,        0, 312894, -120271.0, -96164.0, -132558.0, -76763.0, -47379.0, -105570.0, -99274.0, -129346.0, -84439.0, -99171.0, -72439.0, -97529.0, -34285.0, -99549.0, -140958.0, -187845.0, -128487.0, -87630.0
864232324,  7, 1,   1500aa,        0, 312895, -120181.0, -96164.0, -132468.0, -76763.0, -47469.0, -105570.0, -99274.0, -129256.0, -84439.0, -99171.0, -72349.0, -97529.0, -34376.0, -99639.0, -141048.0, -187845.0, -128578.0, -87630.0
