Time, Mask, Bat, Sts1, Sts2, Seq #,T1FX,T1FY,T1FZ,T1TX,T1TY,T1TZ,T2FX,T2FY,T2FZ,T2TX,T2TY,T2TZ,T3FX,T3FY,T3FZ,T3TX,T3TY,T3TZ
857317495,  7, 2,   1508aa,        0, 101871, -104898.0, -75990.0, -132829.0, -50512.0, -67323.0, -90579.0, -111166.0, -143046.0, -69570.0, -102417.0, -81821.0, -95452.0, -62040.0, -67907.0, -128626.0, -152726.0, -100287.0, -30480.0
857317528,  7, 2,   1508aa,        0, 101872, -104808.0, -75357.0, -132920.0, -50240.0, -67233.0, -90127.0, -111166.0, -142506.0, -69480.0, -101606.0, -81731.0, -94910.0, -62131.0, -68179.0, -128356.0, -152906.0, -100468.0, -30752.0
857317560,  7, 2,   1508aa,        0, 101873, -104808.0, -75538.0, -132920.0, -50331.0, -67413.0, -90398.0, -111075.0, -142235.0, -69570.0, -101425.0, -81731.0, -94729.0, -62040.0, -68723.0, -128356.0, -153356.0, -100559.0, -31205.0
857317593,  7, 2,   1508aa,        0, 101874, -104808.0, -75447.0, -132920.0, -49968.0, -67323.0, -89947.0, -111166.0, -142325.0, -69390.0, -101606.0, -81911.0, -94910.0, -62040.0, -68542.0, -128536.0, -153356.0, -100468.0, -31205.0
857317626,  7, 2,   1508aa,        0, 101875, -104808.0, -74995.0, -133281.0, -49697.0, -66962.0, -89586.0, -111166.0, -142506.0, -69390.0, -101966.0, -82091.0, -95181.0, -62131.0, -68451.0, -128716.0, -153086.0, -100196.0, -30752.0
857317659,  7, 2,   1508aa,        0, 101876, -104808.0, -75809.0, -133191.0, -50240.0, -67052.0, -90218.0, -111166.0, -142866.0, -69300.0, -102327.0, -82182.0, -95542.0, -62131.0, -68270.0, -128986.0, -152816.0, -100106.0, -30570.0
857317691,  7, 2,   1508aa,        0, 101877, -104808.0, -75900.0, -133191.0, -50421.0, -67143.0, -90398.0, -111075.0, -142866.0, -69210.0, -102327.0, -82182.0, -95542.0, -62131.0, -68179.0, -129166.0, -152455.0, -99924.0, -30208.0
857317724,  7, 2,   1508aa,        0, 101878, -104898.0, -75266.0, -133191.0, -49606.0, -67052.0, -89586.0, -111075.0, -142416.0, -69210.0, -101876.0, -82272.0, -95090.0, -62131.0, -68632.0, -129166.0, -152816.0, -99834.0, -30389.0
857317757,  7, 2,   1508aa,        0, 101879, -104808.0, -75628.0, -133462.0, -50331.0, -66872.0, -90218.0, -111166.0, -142325.0, -69119.0, -101876.0, -82272.0, -95090.0, -62131.0, -68542.0, -128986.0, -153176.0, -100015.0, -30843.0
857317790,  7, 2,   1508aa,        0, 101880, -104808.0, -75538.0, -133101.0, -50059.0, -67143.0, -90308.0, -111166.0, -142596.0, -69210.0, -102147.0, -82182.0, -95361.0, -62131.0, -69086.0, -129346.0, -153446.0, -99743.0, -31205.0
