NO_OF_FRAMES	1066
NO_OF_CAMERAS	10
NO_OF_MARKERS	40
FREQUENCY	72
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2018-08-30, 18:40:07	1350375.27588781
DATA_INCLUDED	3D
MARKER_NAMES	L5	L2	L3	L4	L1	E3	E1	E2	C4	C3	C2	C1	A3	A1	A2	B3	B1	B2	D2	D1	D4	D3	F1	F3	F2	H2	H1	H3	H4	K1	K4	K2	K3	J3	J2	J1	G2	G1	G3	G4
L5 X	L5 Y	L5 Z	L2 X	L2 Y	L2 Z	L3 X	L3 Y	L3 Z	L4 X	L4 Y	L4 Z	L1 X	L1 Y	L1 Z	E3 X	E3 Y	E3 Z	E1 X	E1 Y	E1 Z	E2 X	E2 Y	E2 Z	C4 X	C4 Y	C4 Z	C3 X	C3 Y	C3 Z	C2 X	C2 Y	C2 Z	C1 X	C1 Y	C1 Z	A3 X	A3 Y	A3 Z	A1 X	A1 Y	A1 Z	A2 X	A2 Y	A2 Z	B3 X	B3 Y	B3 Z	B1 X	B1 Y	B1 Z	B2 X	B2 Y	B2 Z	D2 X	D2 Y	D2 Z	D1 X	D1 Y	D1 Z	D4 X	D4 Y	D4 Z	D3 X	D3 Y	D3 Z	F1 X	F1 Y	F1 Z	F3 X	F3 Y	F3 Z	F2 X	F2 Y	F2 Z	H2 X	H2 Y	H2 Z	H1 X	H1 Y	H1 Z	H3 X	H3 Y	H3 Z	H4 X	H4 Y	H4 Z	K1 X	K1 Y	K1 Z	K4 X	K4 Y	K4 Z	K2 X	K2 Y	K2 Z	K3 X	K3 Y	K3 Z	J3 X	J3 Y	J3 Z	J2 X	J2 Y	J2 Z	J1 X	J1 Y	J1 Z	G2 X	G2 Y	G2 Z	G1 X	G1 Y	G1 Z	G3 X	G3 Y	G3 Z	G4 X	G4 Y	G4 Z	
-3029.179	-670.329	355.188	0.000	0.000	0.000	-3032.293	-430.921	357.130	-3116.029	-569.284	352.625	0.000	0.000	0.000	-2961.755	-125.534	144.008	-2985.971	75.404	133.329	0.000	0.000	0.000	-2265.794	-154.816	140.542	-2390.629	-139.620	134.854	0.000	0.000	0.000	0.000	0.000	0.000	-1738.787	-165.167	129.610	-1722.280	34.791	141.605	-1672.697	-70.767	133.958	-1751.843	-992.300	126.638	-1742.416	-791.678	137.225	-1689.153	-893.875	131.044	-2444.631	-757.395	115.799	0.000	0.000	0.000	-2338.571	-969.187	140.777	-2465.738	-959.682	125.790	0.000	0.000	0.000	-3005.118	-951.817	138.841	0.000	0.000	0.000	-2153.882	-347.729	515.908	-1939.570	-373.886	512.009	-2162.234	-581.078	529.165	-1948.401	-570.231	518.381	-2546.494	-336.079	532.917	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.652	-448.874	571.918	-2350.146	-319.687	562.354	-2202.924	-461.012	564.677	-1625.849	-417.109	320.596	-1793.552	-301.640	322.494	-1630.139	-545.484	320.072	-1804.997	-649.675	323.962
-3029.421	-670.124	355.561	0.000	0.000	0.000	-3032.515	-430.867	357.363	-3116.208	-569.135	352.856	0.000	0.000	0.000	-2962.206	-125.250	143.933	-2985.915	75.741	133.524	0.000	0.000	0.000	-2265.781	-154.766	140.650	-2390.578	-139.763	134.825	0.000	0.000	0.000	0.000	0.000	0.000	-1738.791	-165.199	129.689	-1722.325	34.815	141.694	-1672.765	-70.666	134.080	-1752.025	-991.894	127.043	-1742.362	-791.504	137.614	-1689.187	-893.823	131.134	-2444.920	-757.177	116.157	0.000	0.000	0.000	-2338.644	-968.798	140.936	-2466.112	-959.289	126.147	0.000	0.000	0.000	-3005.210	-951.497	138.925	0.000	0.000	0.000	-2153.944	-347.545	516.010	-1939.662	-373.716	512.137	-2162.383	-580.781	529.474	-1948.449	-570.105	518.391	-2546.549	-335.841	533.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.585	-448.828	571.807	-2350.403	-319.421	562.582	-2202.987	-460.905	564.785	-1625.909	-417.058	320.731	-1793.552	-301.614	322.542	-1630.191	-545.445	320.071	-1805.134	-649.644	324.119
-3029.320	-670.041	355.445	0.000	0.000	0.000	-3032.397	-430.735	357.359	-3115.932	-568.886	353.533	-3006.742	-193.108	361.150	-2962.301	-125.150	143.880	-2985.876	75.971	133.806	0.000	0.000	0.000	-2265.777	-154.692	140.776	-2390.548	-139.907	134.822	-2366.886	61.715	140.669	-2243.475	47.798	144.478	-1738.818	-165.204	129.758	-1722.360	34.835	141.542	-1672.860	-70.703	133.904	-1752.056	-991.772	127.120	-1742.382	-791.575	137.714	-1689.215	-893.896	131.081	-2444.804	-757.109	116.188	0.000	0.000	0.000	-2338.672	-968.664	141.022	-2466.210	-959.084	126.455	0.000	0.000	0.000	-3004.906	-951.275	139.068	0.000	0.000	0.000	-2153.904	-347.487	515.951	-1939.655	-373.657	512.111	-2162.295	-580.727	529.305	-1948.508	-570.090	518.469	-2546.637	-335.671	533.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.542	-448.795	571.674	-2350.419	-319.327	562.762	-2202.942	-460.972	564.516	-1625.907	-417.037	320.615	-1793.589	-301.615	322.446	-1630.253	-545.470	319.928	-1805.094	-649.627	324.248
-3029.209	-670.070	355.361	0.000	0.000	0.000	-3035.098	-430.461	360.770	-3115.928	-569.095	352.507	-3006.959	-192.791	361.338	-2961.999	-125.467	143.901	-2985.745	75.651	133.311	0.000	0.000	0.000	-2265.781	-154.616	140.894	-2390.549	-140.016	134.852	-2366.850	61.669	140.510	-2243.387	47.815	144.239	-1738.856	-165.188	129.809	-1722.288	34.824	141.361	-1672.784	-70.824	133.652	-1751.871	-992.028	126.760	-1742.453	-791.799	137.162	-1689.198	-893.934	130.986	-2444.632	-757.150	115.877	0.000	0.000	0.000	-2338.586	-969.025	140.693	-2465.674	-959.410	125.779	0.000	0.000	0.000	-3004.781	-951.657	138.867	0.000	0.000	0.000	-2153.794	-347.570	515.710	-1939.546	-373.732	511.920	-2162.341	-580.911	529.044	-1948.655	-570.588	519.444	-2546.452	-335.747	532.708	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.514	-448.629	571.652	-2350.179	-319.447	562.479	-2202.965	-460.955	564.246	-1625.863	-417.058	320.415	-1793.546	-301.581	322.303	-1630.235	-545.465	319.876	-1805.073	-649.642	323.953
-3029.063	-670.266	355.204	0.000	0.000	0.000	-3032.511	-430.355	357.185	-3115.941	-569.139	352.433	-3007.118	-192.544	361.424	-2961.667	-125.842	144.184	-2985.794	75.500	133.179	0.000	0.000	0.000	-2265.796	-154.556	140.979	-2390.590	-140.055	134.925	-2366.835	61.665	140.508	-2243.322	47.684	144.208	-1738.895	-165.156	129.834	-1722.280	34.854	141.382	-1672.706	-70.794	133.773	-1751.765	-992.353	126.496	-1742.468	-791.799	137.136	-1689.209	-893.899	130.925	-2444.450	-757.365	115.605	0.000	0.000	0.000	-2338.615	-969.029	140.507	-2465.454	-959.658	125.563	0.000	0.000	0.000	-3004.832	-952.161	138.999	0.000	0.000	0.000	-2153.798	-347.683	515.693	-1939.523	-373.905	511.759	-2162.131	-581.231	528.980	-1948.478	-570.222	518.375	-2546.446	-335.847	532.628	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.513	-448.608	571.689	-2349.964	-319.707	562.280	-2202.746	-461.362	564.084	-1625.812	-417.078	320.434	-1793.555	-301.527	322.297	-1630.223	-545.444	319.908	-1805.017	-649.685	323.805
-3029.229	-669.988	355.365	0.000	0.000	0.000	-3035.065	-430.670	360.528	-3115.891	-569.043	352.385	-3007.375	-192.412	361.261	-2961.874	-125.460	143.981	-2985.827	75.600	133.302	0.000	0.000	0.000	-2265.822	-154.532	141.004	-2390.679	-139.989	135.048	-2366.781	61.542	140.557	-2243.295	47.608	144.223	-1738.923	-165.113	129.826	-1722.290	34.838	141.582	-1672.741	-70.815	133.891	-1751.842	-992.084	126.675	-1742.456	-791.715	137.276	-1689.161	-893.875	131.067	-2444.676	-757.188	115.829	0.000	0.000	0.000	-2338.649	-969.061	140.819	-2465.766	-959.453	125.712	0.000	0.000	0.000	-3004.972	-951.767	138.898	0.000	0.000	0.000	-2153.889	-347.525	515.901	-1939.600	-373.720	512.009	-2162.249	-580.991	529.152	-1948.453	-570.100	518.390	-2546.390	-335.813	532.784	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.667	-448.633	571.933	-2350.221	-319.385	562.391	-2202.803	-461.183	564.378	-1625.834	-417.028	320.607	-1793.569	-301.513	322.409	-1630.198	-545.472	320.014	-1805.039	-649.626	323.869
-3029.399	-669.887	355.365	0.000	0.000	0.000	-3034.854	-430.550	360.282	-3116.145	-568.704	352.775	-3007.648	-192.370	361.417	-2962.181	-124.982	143.879	-2985.854	75.960	133.713	0.000	0.000	0.000	-2265.861	-154.565	140.945	-2390.826	-139.784	135.230	-2366.804	61.673	140.698	-2243.298	47.577	144.271	-1738.928	-165.064	129.775	-1722.344	34.813	141.699	-1672.779	-70.732	134.066	-1751.982	-991.655	127.052	-1742.359	-791.559	137.678	-1689.174	-893.887	131.124	-2444.942	-756.838	116.078	0.000	0.000	0.000	-2338.699	-968.640	141.005	-2466.272	-958.922	126.351	0.000	0.000	0.000	-3004.901	-951.253	138.993	0.000	0.000	0.000	-2154.015	-347.353	516.068	-1939.666	-373.557	512.172	-2162.354	-580.610	529.398	-1948.414	-569.991	518.467	-2546.620	-335.539	532.994	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.685	-448.609	571.966	-2350.480	-319.173	562.704	-2202.950	-460.879	564.720	-1625.907	-417.047	320.667	-1793.575	-301.558	322.463	-1630.199	-545.500	320.068	-1805.101	-649.501	324.100
-3029.375	-669.919	355.574	0.000	0.000	0.000	-3032.525	-430.533	357.331	-3116.202	-568.918	352.808	-3007.854	-192.405	361.689	-2962.041	-125.170	144.067	-2985.980	75.920	133.842	0.000	0.000	0.000	-2265.914	-154.674	140.775	-2390.797	-139.895	135.169	-2366.819	61.631	140.655	-2243.321	47.583	144.339	-1738.900	-165.016	129.674	-1722.341	34.817	141.622	-1672.821	-70.711	133.976	-1751.969	-991.745	127.089	-1742.337	-791.557	137.632	-1689.161	-893.849	131.196	-2444.934	-757.031	116.098	0.000	0.000	0.000	-2338.655	-968.726	141.032	-2466.236	-959.032	126.377	0.000	0.000	0.000	-3005.088	-951.483	139.039	0.000	0.000	0.000	-2153.927	-347.478	515.966	-1939.686	-373.572	512.125	-2162.368	-580.699	529.318	-1948.576	-570.521	519.500	-2546.513	-335.722	532.875	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.687	-448.633	571.854	-2350.521	-319.301	562.744	-2203.005	-460.904	564.513	-1625.912	-417.078	320.684	-1793.592	-301.548	322.435	-1630.212	-545.469	319.975	-1805.114	-649.555	324.194
-3029.132	-670.362	355.202	0.000	0.000	0.000	-3035.121	-430.881	360.785	-3115.979	-569.302	352.657	-3007.907	-192.501	361.875	-2961.617	-125.505	144.200	-2985.866	75.466	133.256	0.000	0.000	0.000	-2265.799	-154.925	140.411	-2390.766	-139.959	135.084	-2366.766	61.436	140.420	-2243.356	47.617	144.416	-1738.827	-164.973	129.515	-1722.279	34.848	141.410	-1672.745	-70.684	133.746	-1751.853	-992.324	126.636	-1742.395	-791.632	137.294	-1689.132	-893.809	131.000	-2444.656	-757.340	115.764	0.000	0.000	0.000	-2338.667	-969.069	140.622	-2465.671	-959.633	125.753	0.000	0.000	0.000	-3004.723	-951.744	138.790	0.000	0.000	0.000	-2153.844	-347.701	515.710	-1939.547	-373.802	511.887	-2162.216	-581.045	529.000	-1948.421	-570.235	518.388	-2546.558	-335.926	532.775	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.577	-448.784	571.644	-2350.207	-319.651	562.448	-2202.949	-461.065	564.180	-1625.819	-417.084	320.471	-1793.572	-301.563	322.328	-1630.181	-545.383	319.875	-1805.033	-649.583	323.914
-3029.042	-670.346	355.204	0.000	0.000	0.000	-3032.410	-430.793	357.330	-3115.921	-569.068	353.451	-3007.723	-192.645	361.771	-2961.830	-125.514	144.083	-2985.817	75.539	133.260	0.000	0.000	0.000	-2265.698	-155.139	140.146	-2390.734	-139.985	134.990	-2366.742	61.458	140.431	-2243.396	47.669	144.487	-1738.858	-164.911	129.478	-1722.277	34.873	141.366	-1672.753	-70.684	133.794	-1751.797	-992.250	126.638	-1742.399	-791.635	137.165	-1689.126	-893.770	130.980	-2444.578	-757.408	115.840	0.000	0.000	0.000	-2338.603	-969.171	140.623	-2465.778	-959.773	125.714	0.000	0.000	0.000	-3004.745	-951.772	138.858	0.000	0.000	0.000	-2153.838	-347.694	515.729	-1939.546	-373.788	511.881	-2162.238	-580.965	528.998	-1948.461	-570.201	518.416	-2546.531	-335.904	532.840	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2506.456	-448.791	571.572	-2350.268	-319.611	562.458	-2202.818	-461.005	564.151	-1625.819	-417.065	320.459	-1793.556	-301.597	322.333	-1630.191	-545.385	319.885	-1805.022	-649.608	323.998
