NO_OF_FRAMES	905
NO_OF_CAMERAS	10
NO_OF_MARKERS	40
FREQUENCY	72
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2018-08-30, 18:44:51	1350659.19285559
DATA_INCLUDED	3D
MARKER_NAMES	A3	A1	A2	B1	B3	B2	G3	G1	G2	G4	C1	C4	C3	C2	D4	D2	D3	D1	E3	E2	E1	F1	F2	F3	L3	L2	L1	L4	L5	J2	J3	J1	H4	H1	H2	H3	K2	K4	K1	K3
A3 X	A3 Y	A3 Z	A1 X	A1 Y	A1 Z	A2 X	A2 Y	A2 Z	B1 X	B1 Y	B1 Z	B3 X	B3 Y	B3 Z	B2 X	B2 Y	B2 Z	G3 X	G3 Y	G3 Z	G1 X	G1 Y	G1 Z	G2 X	G2 Y	G2 Z	G4 X	G4 Y	G4 Z	C1 X	C1 Y	C1 Z	C4 X	C4 Y	C4 Z	C3 X	C3 Y	C3 Z	C2 X	C2 Y	C2 Z	D4 X	D4 Y	D4 Z	D2 X	D2 Y	D2 Z	D3 X	D3 Y	D3 Z	D1 X	D1 Y	D1 Z	E3 X	E3 Y	E3 Z	E2 X	E2 Y	E2 Z	E1 X	E1 Y	E1 Z	F1 X	F1 Y	F1 Z	F2 X	F2 Y	F2 Z	F3 X	F3 Y	F3 Z	L3 X	L3 Y	L3 Z	L2 X	L2 Y	L2 Z	L1 X	L1 Y	L1 Z	L4 X	L4 Y	L4 Z	L5 X	L5 Y	L5 Z	J2 X	J2 Y	J2 Z	J3 X	J3 Y	J3 Z	J1 X	J1 Y	J1 Z	H4 X	H4 Y	H4 Z	H1 X	H1 Y	H1 Z	H2 X	H2 Y	H2 Z	H3 X	H3 Y	H3 Z	K2 X	K2 Y	K2 Z	K4 X	K4 Y	K4 Z	K1 X	K1 Y	K1 Z	K3 X	K3 Y	K3 Z	
-1535.926	1944.854	148.565	-1514.114	2144.083	161.037	-1467.072	2037.060	152.887	-1555.703	1316.879	151.360	-1566.733	1115.270	147.207	-1503.321	1212.762	148.906	-1436.139	1562.435	338.631	-1594.367	1810.023	340.361	-1428.798	1689.246	337.952	-1612.746	1461.224	343.006	-2038.264	2167.399	161.873	-2065.233	1965.982	158.127	-2188.255	1982.891	155.614	-2161.741	2184.079	160.158	-2159.228	1150.642	155.584	-2260.066	1365.960	135.804	-2283.849	1163.781	149.746	-2136.851	1353.182	142.683	-2779.199	1997.787	154.553	-2843.404	2102.224	152.952	-2753.122	2235.065	243.149	-2801.207	1373.938	140.892	-2860.177	1276.989	146.429	-2806.450	1171.859	152.695	-2836.249	1696.482	376.563	-2911.186	1843.144	380.657	-2810.798	1935.002	380.885	-2922.028	1558.310	374.556	-2831.074	1456.422	371.017	-2150.400	1802.299	583.355	-2309.805	1676.859	591.820	-2006.649	1656.291	583.685	-1752.888	1544.599	538.478	-1741.341	1740.854	529.474	-1955.483	1772.216	533.730	-1968.839	1539.466	543.120	-2566.818	1785.098	560.358	-2363.545	1558.744	548.290	-2350.797	1791.893	550.277	-2577.176	1589.121	556.214
-1535.886	1944.864	148.385	-1514.033	2144.110	160.819	-1467.120	2037.050	152.568	-1555.705	1316.837	151.226	-1566.741	1115.285	147.028	-1503.404	1212.754	148.593	-1436.119	1562.392	338.483	-1594.316	1810.046	340.160	-1428.890	1689.306	337.642	-1612.754	1461.172	342.845	-2038.278	2167.313	161.406	-2065.277	1965.986	157.790	-2188.245	1982.913	155.425	-2161.762	2184.117	159.837	-2159.173	1150.631	155.346	-2259.860	1365.930	135.696	-2283.776	1163.650	149.374	-2136.838	1353.183	142.566	-2779.085	1997.702	154.164	-2842.882	2101.972	152.286	-2752.809	2235.438	243.065	-2801.029	1373.921	140.552	-2860.381	1277.157	146.355	-2806.495	1171.884	152.370	-2836.279	1696.628	376.426	-2911.163	1843.333	380.393	-2810.764	1935.132	380.583	-2922.036	1558.393	374.426	-2831.115	1456.505	370.752	-2150.338	1802.343	583.197	-2309.743	1676.847	591.783	-2006.665	1656.087	582.899	-1752.857	1544.562	538.273	-1741.283	1740.810	529.319	-1955.468	1772.203	533.519	-1968.804	1539.486	543.047	-2566.851	1785.205	560.247	-2363.474	1558.756	548.027	-2350.773	1791.929	550.176	-2577.097	1589.198	556.166
-1535.831	1944.945	148.243	-1513.979	2144.142	160.708	-1467.104	2037.173	152.416	-1555.708	1316.812	151.151	-1566.755	1115.271	146.928	-1503.491	1212.754	148.324	-1436.151	1562.326	338.341	-1594.301	1810.089	340.126	-1428.976	1689.333	337.441	-1612.790	1461.135	342.804	-2038.295	2167.379	161.247	-2065.320	1966.064	157.654	-2188.158	1982.998	155.372	-2161.810	2184.152	159.656	-2159.168	1150.729	155.256	-2259.767	1365.809	135.746	-2283.811	1163.729	149.280	-2136.740	1353.203	142.526	-2779.185	1997.802	154.073	-2843.076	2102.391	152.206	-2753.120	2235.221	243.189	-2800.889	1373.851	140.522	-2860.424	1277.415	146.203	-2806.483	1171.931	152.305	-2836.171	1696.586	376.343	-2911.318	1843.343	380.387	-2810.835	1935.337	380.449	-2921.976	1558.371	374.371	-2831.048	1456.528	370.742	-2150.324	1802.419	583.089	-2309.698	1676.915	591.821	-2006.787	1656.434	583.094	-1752.871	1544.525	538.152	-1741.241	1740.867	529.332	-1955.440	1772.278	533.512	-1968.746	1539.506	543.052	-2566.688	1785.197	560.091	-2363.450	1558.834	547.896	-2350.739	1791.956	550.252	-2577.090	1589.255	556.135
-1535.872	1944.991	148.348	-1514.061	2144.220	160.856	-1467.173	2037.345	152.663	-1555.739	1316.920	151.237	-1566.786	1115.341	147.004	-1503.474	1212.947	148.507	-1436.149	1562.436	338.498	-1594.369	1810.154	340.205	-1428.942	1689.393	337.512	-1612.757	1461.224	342.861	-2038.312	2167.619	161.593	-2065.390	1966.213	157.810	-2188.210	1983.048	155.456	-2161.823	2184.249	159.854	-2159.253	1150.806	155.396	-2259.891	1365.878	135.837	-2283.852	1163.902	149.469	-2136.833	1353.332	142.570	-2779.278	1997.875	154.258	-2843.023	2102.373	152.252	-2752.943	2235.351	243.163	-2801.034	1373.922	140.731	-2860.301	1277.275	146.146	-2806.495	1172.030	152.481	-2836.172	1696.609	376.355	-2911.356	1843.567	380.557	-2810.881	1935.226	380.667	-2922.014	1558.366	374.484	-2831.075	1456.546	370.855	-2150.333	1802.443	583.253	-2309.754	1676.962	591.862	-2006.794	1656.478	583.208	-1752.882	1544.656	538.343	-1741.266	1740.918	529.425	-1955.469	1772.286	533.594	-1968.752	1539.580	543.091	-2566.778	1785.192	560.198	-2363.504	1558.872	548.033	-2350.769	1792.035	550.282	-2577.218	1589.264	556.165
-1535.953	1944.984	148.482	-1514.087	2144.195	160.928	-1467.116	2037.284	152.822	-1555.737	1316.964	151.226	-1566.763	1115.366	147.144	-1503.408	1212.937	148.543	-1436.147	1562.496	338.492	-1594.383	1810.141	340.279	-1428.847	1689.402	337.795	-1612.702	1461.266	342.985	-2038.265	2167.518	161.776	-2065.285	1966.158	158.003	-2188.313	1983.048	155.676	-2161.778	2184.238	160.055	-2159.257	1150.734	155.466	-2260.091	1366.085	135.629	-2283.887	1163.833	149.589	-2136.896	1353.294	142.509	-2779.106	1997.788	154.453	-2842.883	2102.134	152.359	-2752.617	2235.210	243.233	-2801.152	1373.909	140.776	-2860.279	1277.282	146.417	-2806.555	1171.887	152.631	-2836.233	1696.554	376.412	-2911.280	1843.231	380.761	-2810.730	1935.033	380.826	-2922.049	1558.306	374.556	-2831.124	1456.484	370.994	-2150.413	1802.373	583.329	-2309.832	1676.893	591.793	-2006.671	1656.461	583.590	-1752.846	1544.632	538.380	-1741.313	1740.935	529.401	-1955.526	1772.264	533.683	-1968.846	1539.555	543.021	-2566.773	1785.178	560.291	-2363.544	1558.839	548.202	-2350.789	1792.001	550.190	-2577.182	1589.176	556.148
-1535.938	1944.913	148.609	-1514.106	2144.086	161.016	-1467.012	2037.062	152.891	-1555.752	1316.909	151.332	-1566.765	1115.288	147.233	-1503.375	1212.808	148.745	-1436.155	1562.450	338.586	-1594.357	1810.064	340.418	-1428.773	1689.222	337.950	-1612.746	1461.216	343.059	-2038.192	2167.443	161.887	-2065.220	1965.989	158.099	-2188.257	1982.892	155.610	-2161.664	2184.082	160.239	-2159.279	1150.719	155.564	-2260.120	1365.987	135.640	-2283.858	1163.824	149.671	-2136.886	1353.176	142.541	-2778.992	1997.667	154.490	-2842.815	2101.887	152.463	-2753.324	2234.818	243.206	-2801.183	1373.928	140.871	-2860.275	1277.038	146.580	-2806.512	1171.758	152.632	-2836.241	1696.519	376.529	-2911.117	1843.158	380.733	-2810.745	1935.040	380.939	-2922.147	1558.347	374.643	-2831.141	1456.480	371.033	-2150.379	1802.319	583.403	-2309.790	1676.894	591.843	-2006.603	1656.363	583.680	-1752.863	1544.564	538.481	-1741.311	1740.866	529.536	-1955.514	1772.255	533.733	-1968.824	1539.472	543.108	-2566.850	1785.126	560.356	-2363.567	1558.758	548.345	-2350.877	1791.892	550.302	-2577.238	1589.076	556.138
-1535.884	1944.895	148.566	-1514.043	2144.090	161.003	-1467.049	2037.121	152.857	-1555.732	1316.874	151.351	-1566.748	1115.243	147.164	-1503.360	1212.762	148.798	-1436.115	1562.416	338.652	-1594.315	1810.050	340.337	-1428.834	1689.206	337.864	-1612.776	1461.159	342.999	-2038.234	2167.433	161.770	-2065.278	1965.952	158.014	-2188.226	1982.932	155.552	-2161.706	2184.086	160.065	-2159.221	1150.689	155.521	-2260.123	1366.093	135.759	-2283.865	1163.785	149.675	-2136.800	1353.185	142.603	-2779.139	1997.772	154.431	-2842.979	2101.846	152.499	-2753.020	2235.364	243.070	-2801.168	1373.959	140.828	-2860.202	1276.967	146.334	-2806.588	1171.952	152.589	-2836.202	1696.424	376.502	-2911.174	1843.214	380.580	-2810.647	1934.994	380.676	-2922.058	1558.341	374.522	-2831.082	1456.495	370.965	-2150.349	1802.322	583.380	-2309.731	1676.889	591.887	-2006.647	1656.300	583.596	-1752.878	1544.536	538.453	-1741.327	1740.830	529.435	-1955.497	1772.226	533.717	-1968.802	1539.469	543.199	-2566.747	1785.184	560.234	-2363.486	1558.730	548.183	-2350.760	1791.920	550.229	-2577.158	1589.216	556.207
-1535.822	1945.014	148.391	-1513.990	2144.222	160.835	-1467.067	2037.221	152.576	-1555.698	1316.977	151.322	-1566.732	1115.386	147.067	-1503.373	1212.812	148.550	-1436.104	1562.470	338.502	-1594.312	1810.161	340.193	-1428.870	1689.370	337.565	-1612.725	1461.285	342.905	-2038.246	2167.509	161.523	-2065.281	1966.089	157.750	-2188.197	1983.031	155.420	-2161.727	2184.198	159.754	-2159.189	1150.813	155.322	-2259.864	1366.119	135.671	-2283.765	1163.807	149.323	-2136.778	1353.332	142.552	-2779.175	1997.858	154.126	-2843.424	2102.213	152.593	-2753.038	2234.867	243.216	-2801.053	1374.107	140.646	-2860.292	1277.193	146.098	-2806.528	1172.008	152.382	-2836.083	1696.596	376.324	-2911.284	1843.400	380.418	-2810.804	1935.111	380.548	-2922.082	1558.472	374.420	-2831.010	1456.605	370.836	-2150.291	1802.469	583.194	-2309.683	1677.004	591.923	-2006.715	1656.122	582.801	-1752.875	1544.632	538.289	-1741.250	1740.933	529.349	-1955.460	1772.358	533.583	-1968.710	1539.601	543.143	-2566.785	1785.301	560.235	-2363.463	1558.885	548.035	-2350.691	1792.070	550.309	-2577.067	1589.323	556.184
-1535.853	1945.061	148.308	-1514.088	2144.318	160.815	-1467.156	2037.312	152.586	-1555.732	1317.016	151.168	-1566.750	1115.438	147.000	-1503.446	1212.922	148.406	-1436.126	1562.494	338.506	-1594.347	1810.191	340.227	-1428.907	1689.431	337.440	-1612.765	1461.373	342.823	-2038.272	2167.494	161.353	-2065.348	1966.159	157.677	-2188.204	1983.107	155.486	-2161.779	2184.223	159.687	-2159.246	1150.964	155.328	-2259.971	1366.098	135.748	-2283.841	1163.966	149.465	-2136.796	1353.402	142.614	-2779.337	1997.932	154.172	-2842.930	2102.083	152.088	-2752.756	2235.419	243.160	-2801.040	1374.074	140.629	-2860.392	1277.299	146.096	-2806.528	1172.062	152.334	-2836.206	1696.749	376.308	-2911.286	1843.367	380.376	-2810.801	1935.204	380.473	-2922.003	1558.470	374.377	-2831.056	1456.663	370.802	-2150.369	1802.578	583.294	-2309.698	1677.042	591.831	-2006.753	1656.238	582.769	-1752.867	1544.716	538.290	-1741.287	1741.061	529.452	-1955.483	1772.397	533.558	-1968.761	1539.666	543.109	-2566.762	1785.320	560.141	-2363.498	1558.908	548.015	-2350.709	1792.098	550.280	-2577.102	1589.387	556.291
-1535.921	1944.965	148.487	-1514.060	2144.178	160.898	-1467.167	2037.213	152.637	-1555.740	1316.886	151.246	-1566.778	1115.302	147.057	-1503.496	1212.867	148.459	-1436.145	1562.398	338.466	-1594.369	1810.111	340.236	-1428.921	1689.350	337.574	-1612.747	1461.193	342.908	-2038.293	2167.583	161.750	-2065.329	1966.135	157.918	-2188.273	1982.981	155.494	-2161.788	2184.279	159.935	-2159.242	1150.773	155.463	-2259.925	1365.984	135.805	-2283.885	1163.833	149.507	-2136.840	1353.219	142.606	-2779.135	1997.773	154.301	-2842.841	2101.871	152.257	-2753.633	2234.958	243.224	-2801.068	1373.918	140.723	-2860.374	1277.247	146.343	-2806.557	1172.063	152.370	-2836.140	1696.538	376.402	-2911.308	1843.430	380.643	-2810.869	1935.258	380.750	-2922.004	1558.348	374.429	-2831.091	1456.464	370.882	-2150.368	1802.368	583.299	-2309.779	1676.886	591.827	-2006.748	1656.192	583.045	-1752.871	1544.548	538.315	-1741.334	1740.911	529.456	-1955.491	1772.222	533.647	-1968.786	1539.496	543.084	-2566.706	1785.103	560.218	-2363.445	1558.771	548.070	-2350.825	1791.957	550.284	-2577.121	1589.211	556.176
