NO_OF_FRAMES	1276
NO_OF_CAMERAS	10
NO_OF_MARKERS	40
FREQUENCY	72
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2018-08-30, 18:16:39	1348966.65231789
DATA_INCLUDED	3D
MARKER_NAMES	A3	A1	A2	B3	B1	B2	F2	F1	F3	G3	G1	G2	G4	H3	H2	H1	H4	J3	J2	J1	K4	K2	K1	K3	E1	E3	E2	C1	C3	C2	C4	L5	L3	L4	L2	L1	D3	D1	D4	D2
A3 X	A3 Y	A3 Z	A1 X	A1 Y	A1 Z	A2 X	A2 Y	A2 Z	B3 X	B3 Y	B3 Z	B1 X	B1 Y	B1 Z	B2 X	B2 Y	B2 Z	F2 X	F2 Y	F2 Z	F1 X	F1 Y	F1 Z	F3 X	F3 Y	F3 Z	G3 X	G3 Y	G3 Z	G1 X	G1 Y	G1 Z	G2 X	G2 Y	G2 Z	G4 X	G4 Y	G4 Z	H3 X	H3 Y	H3 Z	H2 X	H2 Y	H2 Z	H1 X	H1 Y	H1 Z	H4 X	H4 Y	H4 Z	J3 X	J3 Y	J3 Z	J2 X	J2 Y	J2 Z	J1 X	J1 Y	J1 Z	K4 X	K4 Y	K4 Z	K2 X	K2 Y	K2 Z	K1 X	K1 Y	K1 Z	K3 X	K3 Y	K3 Z	E1 X	E1 Y	E1 Z	E3 X	E3 Y	E3 Z	E2 X	E2 Y	E2 Z	C1 X	C1 Y	C1 Z	C3 X	C3 Y	C3 Z	C2 X	C2 Y	C2 Z	C4 X	C4 Y	C4 Z	L5 X	L5 Y	L5 Z	L3 X	L3 Y	L3 Z	L4 X	L4 Y	L4 Z	L2 X	L2 Y	L2 Z	L1 X	L1 Y	L1 Z	D3 X	D3 Y	D3 Z	D1 X	D1 Y	D1 Z	D4 X	D4 Y	D4 Z	D2 X	D2 Y	D2 Z	
-2861.858	1137.153	139.405	-2844.881	1336.288	155.034	-2795.156	1232.056	146.062	-2876.976	305.883	134.060	-2869.684	506.316	138.083	-2815.608	403.691	135.391	-4177.804	482.154	129.225	-4112.872	577.632	124.276	-4127.272	378.200	138.414	-2754.762	753.827	328.421	-2917.775	998.929	331.784	-2749.681	883.168	330.185	-2933.183	647.267	327.176	-3287.706	720.395	527.475	-3277.407	953.506	520.341	-3060.005	922.062	518.292	0.000	0.000	0.000	-3629.077	855.828	572.648	0.000	0.000	0.000	0.000	0.000	0.000	-3685.236	744.453	528.176	-3882.021	973.752	540.124	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.361	1356.625	155.458	-3510.042	1167.149	143.380	0.000	0.000	0.000	0.000	0.000	0.000	-4139.112	660.768	350.117	-4137.718	895.434	356.877	-4224.492	764.757	354.077	-4212.019	1040.087	364.223	0.000	0.000	0.000	-3571.058	346.679	132.387	-3429.323	533.910	134.300	-3448.200	335.298	146.650	0.000	0.000	0.000
-2861.800	1136.983	139.558	-2844.833	1336.178	155.054	-2795.136	1231.904	146.291	-2876.914	305.531	133.705	-2869.900	505.912	137.632	-2815.727	403.243	135.191	-4178.177	482.282	128.869	-4113.134	577.639	124.048	-4127.385	378.256	138.428	-2754.789	753.703	328.634	-2917.715	998.842	331.978	-2749.668	882.915	330.231	-2933.330	646.876	326.895	-3287.755	720.174	527.261	-3277.184	953.222	519.866	-3059.769	921.722	518.390	0.000	0.000	0.000	-3629.048	855.596	572.739	0.000	0.000	0.000	0.000	0.000	0.000	-3685.254	744.337	528.150	-3882.096	973.592	539.886	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.405	1356.440	155.354	-3509.943	1166.798	143.071	0.000	0.000	0.000	0.000	0.000	0.000	-4139.156	660.755	350.052	-4137.587	895.525	357.094	-4224.560	764.761	353.932	-4212.053	1039.960	364.088	0.000	0.000	0.000	-3571.063	346.769	132.386	-3431.867	534.506	132.963	-3448.105	335.283	146.584	0.000	0.000	0.000
-2861.741	1136.943	139.492	-2844.803	1336.181	155.000	-2795.142	1232.001	146.317	-2877.029	305.450	133.685	-2869.981	505.734	137.524	-2815.697	403.185	135.014	-4177.974	482.171	128.886	-4113.220	577.727	123.960	-4127.346	378.338	138.368	-2754.738	753.587	328.543	-2917.612	998.640	331.766	-2749.724	882.904	330.194	-2933.471	646.658	326.557	-3287.813	720.167	527.248	-3277.215	953.166	519.729	-3059.733	921.651	518.369	0.000	0.000	0.000	-3629.215	855.523	572.845	0.000	0.000	0.000	0.000	0.000	0.000	-3685.374	744.374	528.201	-3882.199	973.453	539.985	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.442	1356.344	155.374	-3510.038	1166.768	142.954	0.000	0.000	0.000	0.000	0.000	0.000	-4139.031	660.866	350.049	-4137.542	895.617	356.795	-4224.311	764.675	353.877	-4211.989	1039.626	363.833	0.000	0.000	0.000	-3570.744	346.547	132.269	-3431.709	534.471	132.990	-3447.921	335.286	146.630	0.000	0.000	0.000
-2861.772	1137.083	139.389	-2844.842	1336.306	154.976	-2795.130	1232.021	146.028	-2876.979	305.765	133.986	-2869.811	506.186	137.893	-2815.573	403.623	135.513	-4177.836	482.299	129.111	-4112.913	577.633	124.157	-4127.357	378.344	138.126	-2754.833	753.858	328.542	-2917.725	998.955	331.829	-2749.656	883.116	330.117	-2933.256	647.168	327.137	-3287.918	720.252	527.490	-3277.363	953.328	520.193	-3060.104	922.185	518.367	0.000	0.000	0.000	-3628.942	855.592	572.340	0.000	0.000	0.000	0.000	0.000	0.000	-3685.199	744.303	527.949	-3882.136	973.524	540.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.488	1356.524	155.418	-3510.214	1166.936	143.424	0.000	0.000	0.000	0.000	0.000	0.000	-4138.940	660.879	350.079	-4137.350	895.456	356.896	-4224.165	764.825	353.542	-4211.992	1040.110	364.252	0.000	0.000	0.000	-3570.826	346.776	132.173	-3429.155	533.842	134.302	-3448.066	335.270	146.446	0.000	0.000	0.000
-2861.888	1137.261	139.202	-2844.765	1336.380	154.906	-2795.199	1232.129	145.890	-2876.869	305.961	134.242	-2869.583	506.611	138.309	-2815.421	403.893	135.778	-4177.926	482.199	129.022	-4112.954	577.657	124.159	-4127.473	378.352	138.170	-2754.865	754.069	328.361	-2917.691	998.936	331.723	-2749.708	883.305	330.224	-2933.209	647.556	327.336	-3287.669	720.372	527.710	-3277.153	953.343	520.398	-3060.291	922.571	518.204	0.000	0.000	0.000	-3629.004	855.539	572.816	0.000	0.000	0.000	0.000	0.000	0.000	-3684.958	744.151	527.996	-3881.859	973.531	540.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.312	1356.545	155.448	-3509.944	1167.036	143.587	0.000	0.000	0.000	0.000	0.000	0.000	-4139.053	660.811	350.007	-4137.464	895.530	356.814	-4224.192	764.813	353.488	-4211.921	1040.495	364.127	0.000	0.000	0.000	-3570.952	346.730	132.274	-3429.914	534.351	134.169	-3447.963	335.244	146.505	0.000	0.000	0.000
-2861.913	1137.214	139.304	-2844.722	1336.213	154.837	-2795.183	1232.092	145.939	-2876.852	305.718	134.075	-2869.890	506.327	137.807	-2815.528	403.679	135.446	-4178.021	482.159	129.043	-4112.999	577.650	124.188	-4127.433	378.359	138.295	-2754.849	753.965	328.321	-2917.764	998.911	331.705	-2749.680	883.086	330.060	-2933.299	647.354	327.135	-3287.751	720.186	527.402	-3277.141	953.234	520.237	-3060.092	922.257	518.149	0.000	0.000	0.000	-3628.936	855.451	572.661	0.000	0.000	0.000	0.000	0.000	0.000	-3685.035	744.201	527.978	-3881.973	973.468	540.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.289	1356.422	155.489	-3509.873	1166.923	143.454	0.000	0.000	0.000	0.000	0.000	0.000	-4139.150	660.867	350.170	-4137.590	895.531	356.846	-4224.564	764.726	353.865	-4212.014	1040.369	364.238	0.000	0.000	0.000	-3570.768	346.641	132.389	-3429.423	534.028	134.248	-3448.057	335.297	146.573	0.000	0.000	0.000
-2861.879	1137.009	139.528	-2844.809	1336.067	154.971	-2795.156	1231.999	146.218	-2876.899	305.377	133.751	-2870.053	505.860	137.502	-2815.737	403.175	135.025	-4178.211	482.301	129.004	-4113.049	577.659	124.154	-4127.429	378.331	138.418	-2754.848	753.737	328.487	-2917.685	998.674	331.703	-2749.705	882.835	330.101	-2933.580	646.691	326.605	-3287.809	719.988	527.381	-3277.078	952.981	519.811	-3059.841	921.750	518.354	0.000	0.000	0.000	-3629.226	855.429	572.734	0.000	0.000	0.000	0.000	0.000	0.000	-3685.156	744.134	528.121	-3882.166	973.272	540.201	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3359.286	1357.871	153.950	-3509.886	1166.531	143.121	0.000	0.000	0.000	0.000	0.000	0.000	-4139.197	660.826	350.131	-4137.760	895.566	357.066	-4224.660	764.692	353.955	-4212.451	1039.793	364.226	0.000	0.000	0.000	-3570.991	346.707	132.357	-3431.694	534.357	133.080	-3448.064	335.190	146.612	0.000	0.000	0.000
-2861.760	1136.964	139.493	-2844.728	1336.118	154.995	-2795.051	1231.933	146.322	-2877.000	305.440	133.598	-2870.014	505.720	137.408	-2815.664	403.243	135.102	-4177.963	482.361	129.173	-4112.849	577.587	124.229	-4127.358	378.309	138.366	-2754.744	753.584	328.554	-2917.679	998.622	331.797	-2749.725	882.968	330.149	-2933.380	646.695	326.437	-3287.788	720.138	527.300	-3277.006	953.095	519.601	-3059.666	921.560	518.374	0.000	0.000	0.000	-3628.771	855.536	572.061	0.000	0.000	0.000	0.000	0.000	0.000	-3685.350	744.279	528.044	-3882.142	973.375	539.880	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.375	1356.332	155.208	-3509.949	1166.747	142.881	0.000	0.000	0.000	0.000	0.000	0.000	-4139.079	660.819	350.080	-4137.329	895.407	356.999	-4224.223	764.763	353.620	-4211.858	1039.703	363.866	0.000	0.000	0.000	-3570.837	346.687	132.393	-3431.134	534.280	133.219	-3448.082	335.216	146.637	0.000	0.000	0.000
-2861.750	1137.139	139.518	-2844.834	1336.373	155.031	-2795.076	1232.008	146.118	-2876.982	305.825	134.008	-2869.802	506.285	138.048	-2815.635	403.536	135.434	-4178.093	482.170	128.916	-4113.230	577.762	123.924	-4127.459	378.356	138.188	-2754.809	753.853	328.634	-2917.737	998.962	331.931	-2749.736	883.216	330.226	-2933.100	647.267	327.218	-3287.781	720.380	527.548	-3277.459	953.543	520.132	-3059.981	922.025	518.462	0.000	0.000	0.000	-3628.782	855.835	572.195	0.000	0.000	0.000	0.000	0.000	0.000	-3685.240	744.446	527.932	-3882.134	973.731	540.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.469	1356.647	155.336	-3510.129	1167.135	143.207	0.000	0.000	0.000	0.000	0.000	0.000	-4139.141	660.822	349.939	-4137.617	895.603	356.864	-4224.403	764.736	353.885	-4212.112	1040.215	364.280	0.000	0.000	0.000	-3570.915	346.707	132.198	-3432.222	534.787	132.940	-3448.110	335.310	146.466	0.000	0.000	0.000
-2861.816	1137.253	139.310	-2844.814	1336.391	154.979	-2795.093	1231.981	145.869	-2876.837	306.094	134.309	-2869.533	506.633	138.455	-2815.404	403.858	135.838	-4177.997	482.371	129.157	-4113.254	577.761	123.900	-4127.392	378.358	138.118	-2754.819	754.057	328.459	-2917.752	999.003	331.742	-2749.751	883.406	330.304	-2932.946	647.564	327.596	-3287.753	720.572	527.550	-3277.642	953.795	520.801	-3060.147	922.398	518.214	0.000	0.000	0.000	-3628.930	855.942	572.547	0.000	0.000	0.000	0.000	0.000	0.000	-3685.129	744.396	528.022	-3882.015	973.784	540.232	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3360.464	1356.810	155.503	-3510.088	1167.326	143.590	0.000	0.000	0.000	0.000	0.000	0.000	-4139.287	660.905	350.015	-4137.442	895.492	356.772	-4224.336	764.821	353.520	-4212.069	1040.286	364.094	0.000	0.000	0.000	-3571.095	346.834	132.298	-3432.407	535.057	132.980	-3448.295	335.321	146.519	0.000	0.000	0.000
